   2.551,    6.150 
   2.561,    6.150 
   2.571,    6.150 
   2.580,    6.150 
   2.590,    6.160 
   2.600,    6.160 
   2.611,    6.160 
   2.620,    6.170 
   2.631,    6.170 
   2.640,    6.170 
   2.651,    6.170 
   2.660,    6.180 
   2.671,    6.180 
   2.680,    6.180 
   2.691,    6.190 
   2.700,    6.190 
   2.711,    6.190 
   2.720,    6.190 
   2.731,    6.190 
   2.740,    6.190 
   2.750,    6.190 
   2.760,    6.190 
   2.771,    6.200 
   2.780,    6.200 
   2.790,    6.200 
   2.800,    6.200 
   2.810,    6.200 
   2.820,    6.210 
   2.831,    6.210 
   2.840,    6.210 
   2.850,    6.220 
   2.860,    6.220 
   2.871,    6.220 
   2.880,    6.230 
   2.891,    6.230 
   2.900,    6.230 
   2.910,    6.240 
   2.920,    6.240 
   2.931,    6.250 
   2.940,    6.260 
   2.950,    6.260 
   2.960,    6.260 
   2.971,    6.260 
   2.980,    6.270 
   2.991,    6.270 
   3.000,    6.270 
   3.010,    6.270 
   3.020,    6.280 
   3.031,    6.280 
   3.040,    6.280 
   3.051,    6.290 
   3.060,    6.290 
   3.071,    6.290 
   3.080,    6.290 
   3.091,    6.300 
   3.101,    6.300 
   3.110,    6.300 
   3.120,    6.300 
   3.130,    6.310 
   3.140,    6.310 
   3.151,    6.310 
   3.160,    6.310 
   3.171,    6.320 
   3.180,    6.320 
   3.190,    6.320 
   3.200,    6.330 
   3.211,    6.330 
   3.220,    6.330 
   3.230,    6.340 
   3.240,    6.340 
   3.251,    6.340 
   3.260,    6.350 
   3.271,    6.350 
   3.280,    6.350 
   3.290,    6.350 
   3.300,    6.360 
   3.311,    6.360 
   3.320,    6.360 
   3.330,    6.370 
   3.340,    6.370 
   3.350,    6.370 
   3.360,    6.380 
   3.371,    6.380 
   3.380,    6.390 
   3.391,    6.390 
   3.400,    6.390 
   3.411,    6.400 
   3.420,    6.400 
   3.430,    6.400 
   3.440,    6.400 
   3.450,    6.410 
   3.460,    6.410 
   3.471,    6.410 
   3.480,    6.410 
   3.491,    6.410 
   3.500,    6.410 
   3.511,    6.410 
   3.520,    6.410 
   3.531,    6.410 
   3.540,    6.410 
   3.550,    6.420 
   3.560,    6.420 
   3.571,    6.420 
   3.580,    6.420 
   3.590,    6.430 
   3.600,    6.430 
   3.610,    6.440 
   3.620,    6.440 
   3.630,    6.440 
   3.640,    6.440 
   3.650,    6.450 
   3.660,    6.450 
   3.671,    6.460 
   3.680,    6.460 
   3.691,    6.470 
   3.700,    6.470 
   3.710,    6.470 
   3.720,    6.480 
